,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
3902,3903,172.0,0.0,USA,4000000.0,,165638,301.0,111.0,8000,120.0,773.0,742.0,145.0,1785,8.3,Excellent
3212,3213,93.0,2.0,USA,10000000.0,900926.0,9517,46.0,51.0,319,0.0,966.0,799.0,622.0,3307,5.3,Fair
3353,3354,122.0,3.0,Turkey,8300000.0,,14486,159.0,16.0,467,11.0,205.0,197.0,173.0,808,6.0,Fair
4172,4173,109.0,0.0,USA,34000000.0,10654581.0,45500,260.0,107.0,1000,7.0,40000.0,9000.0,1000.0,52621,5.3,Fair
2603,2604,110.0,2.0,USA,15000000.0,176781728.0,219171,388.0,173.0,19000,12000.0,10000.0,1000.0,555.0,13069,6.9,Good
4019,4020,92.0,2.0,USA,3500000.0,,1928,10.0,7.0,482,14.0,2000.0,660.0,597.0,3854,5.4,Fair
3317,3318,45.0,1.0,Denmark,45000000.0,145109.0,14247,44.0,80.0,0,28.0,573.0,197.0,104.0,1098,7.3,Good
1764,1765,127.0,1.0,UK,28000000.0,62300000.0,72085,263.0,112.0,2000,46.0,844.0,402.0,244.0,2118,6.8,Good
1081,1082,117.0,1.0,USA,45000000.0,83287363.0,81442,137.0,47.0,0,176.0,11000.0,530.0,308.0,12757,6.9,Good
3385,3386,138.0,0.0,USA,8000000.0,10269307.0,53251,188.0,91.0,0,78.0,12000.0,3000.0,968.0,17524,6.3,Good
2782,2783,109.0,0.0,USA,14000000.0,27515786.0,8904,31.0,12.0,0,309.0,592.0,556.0,279.0,1620,5.9,Fair
4170,4171,140.0,1.0,UK,2600000.0,3130592.0,10755,69.0,29.0,963,133.0,443.0,249.0,239.0,1269,7.8,Good
710,711,115.0,0.0,USA,60000000.0,143151473.0,116681,320.0,180.0,11000,64.0,2000.0,899.0,664.0,4811,7.1,Good
2160,2161,131.0,0.0,USA,20000000.0,102922376.0,51314,265.0,75.0,0,82.0,813.0,366.0,85.0,1520,5.7,Fair
3670,3671,105.0,0.0,Australia,5500000.0,35811509.0,43013,104.0,71.0,0,96.0,509.0,294.0,35.0,888,7.7,Good
1997,1998,92.0,2.0,USA,25000000.0,1550000.0,30628,471.0,143.0,937,892.0,783.0,595.0,492.0,2930,2.9,Bad
1325,1326,90.0,0.0,France,25000000.0,,15790,40.0,63.0,0,10.0,1000.0,559.0,541.0,3243,6.8,Good
3239,3240,85.0,2.0,USA,,,1097,10.0,4.0,402,7.0,706.0,405.0,240.0,1936,5.2,Fair
2499,2500,82.0,2.0,USA,17000000.0,30324946.0,48458,239.0,63.0,0,12.0,8000.0,357.0,281.0,9271,6.2,Good
4726,4727,87.0,6.0,USA,,,1305,3.0,8.0,244,490.0,833.0,523.0,201.0,2295,5.4,Fair
3661,3662,112.0,0.0,UK,3500159.0,32541719.0,89806,438.0,161.0,0,98.0,883.0,528.0,397.0,2201,6.7,Good
1971,1972,30.0,0.0,USA,,,23664,60.0,7.0,581,,971.0,918.0,265.0,2346,7.2,Good
3295,3296,137.0,1.0,UK,9000000.0,10161099.0,23441,108.0,46.0,0,0.0,591.0,520.0,130.0,1341,7.7,Good
1688,1689,108.0,1.0,USA,30000000.0,16930884.0,65628,262.0,158.0,0,50.0,14000.0,975.0,494.0,16722,5.9,Fair
1346,1347,88.0,0.0,China,40000000.0,,2169,18.0,4.0,0,0.0,76.0,47.0,46.0,196,6.4,Good
4934,4935,98.0,0.0,USA,,,53,1.0,2.0,197,0.0,52.0,36.0,21.0,130,7.1,Good
598,599,119.0,3.0,USA,70000000.0,98895417.0,203154,698.0,358.0,45000,845.0,18000.0,11000.0,992.0,31782,6.5,Good
4529,4530,145.0,0.0,USA,960000.0,117235247.0,375240,542.0,141.0,0,80.0,13000.0,1000.0,794.0,16094,8.1,Excellent
92,93,98.0,0.0,USA,165000000.0,217387997.0,485430,492.0,288.0,33000,255.0,18000.0,953.0,759.0,20453,8.2,Excellent
3026,3027,114.0,0.0,UK,,10230.0,14437,26.0,101.0,0,335.0,585.0,68.0,14.0,679,7.2,Good
4274,4275,96.0,0.0,UK,2000000.0,3590010.0,20885,60.0,158.0,0,31.0,804.0,625.0,328.0,3013,6.1,Good
1375,1376,110.0,4.0,USA,38000000.0,46813366.0,39440,83.0,148.0,15000,11.0,2000.0,756.0,591.0,4882,6.1,Good
892,893,123.0,1.0,USA,55000000.0,69951824.0,232710,599.0,202.0,26000,125.0,10000.0,3000.0,835.0,14727,7.7,Good
2202,2203,82.0,7.0,USA,20000000.0,36658108.0,39095,187.0,122.0,16000,82.0,759.0,401.0,354.0,2898,3.5,Bad
1518,1519,109.0,0.0,USA,34000000.0,10654581.0,45497,260.0,107.0,1000,7.0,40000.0,9000.0,1000.0,52621,5.3,Fair
4579,4580,124.0,6.0,Germany,,621240.0,4999,32.0,100.0,0,13.0,20.0,13.0,7.0,42,7.4,Good
99,100,106.0,2.0,USA,38000000.0,144512310.0,272223,988.0,187.0,14000,357.0,23000.0,14000.0,4000.0,45327,6.7,Good
4227,4228,91.0,0.0,USA,4000000.0,36200000.0,31952,372.0,235.0,0,49.0,72.0,31.0,20.0,174,5.7,Fair
4245,4246,81.0,1.0,USA,2100000.0,,1274,17.0,19.0,380,7.0,412.0,308.0,106.0,1020,5.5,Fair
2325,2326,104.0,1.0,Australia,2000000.0,1900725.0,43205,232.0,168.0,0,214.0,1000.0,509.0,430.0,2129,7.4,Good
4059,4060,113.0,1.0,USA,3000000.0,19184015.0,1466,35.0,24.0,63,9.0,71.0,65.0,12.0,159,5.4,Fair
4840,4841,90.0,0.0,USA,350000.0,,476,18.0,8.0,53,0.0,502.0,119.0,32.0,689,3.2,Bad
3964,3965,84.0,2.0,USA,4000000.0,,1929,4.0,3.0,170,4.0,637.0,346.0,271.0,1932,6.3,Good
2315,2316,125.0,0.0,USA,20000000.0,5749134.0,45799,180.0,350.0,0,78.0,1000.0,969.0,745.0,3979,7.0,Good
265,266,105.0,3.0,USA,105000000.0,71017784.0,27257,59.0,125.0,0,67.0,681.0,71.0,40.0,914,5.4,Fair
1056,1057,105.0,1.0,USA,100000000.0,103738726.0,47819,164.0,72.0,2000,631.0,678.0,631.0,327.0,2096,6.1,Good
2360,2361,91.0,0.0,USA,20000000.0,41867960.0,65512,478.0,149.0,0,17.0,1000.0,795.0,670.0,3023,5.5,Fair
4079,4080,126.0,0.0,USA,3000000.0,,21316,162.0,91.0,0,393.0,862.0,376.0,281.0,2269,7.8,Good
413,414,131.0,1.0,USA,68000000.0,51396781.0,188887,662.0,187.0,0,218.0,5000.0,35.0,29.0,5103,7.6,Good
